"Date","Hour","Active followers"
"2021-03-08","1","55398"
"2021-03-08","2","41993"
"2021-03-08","3","29379"
"2021-03-08","4","19548"
"2021-03-08","5","13332"
"2021-03-08","6","10573"
"2021-03-08","7","11051"
"2021-03-08","8","17803"
"2021-03-08","9","29208"
"2021-03-08","10","37026"
"2021-03-08","11","42113"
"2021-03-08","12","44545"
"2021-03-08","13","46419"
"2021-03-08","14","49580"
"2021-03-08","15","51808"
"2021-03-08","16","51696"
"2021-03-08","17","53001"
"2021-03-08","18","56515"
"2021-03-08","19","56420"
"2021-03-08","20","58448"
"2021-03-08","21","62188"
"2021-03-08","22","66155"
"2021-03-08","23","68880"
"2021-03-08","24","66717"
"2021-03-09","1","56488"
"2021-03-09","2","41746"
"2021-03-09","3","28706"
"2021-03-09","4","18948"
"2021-03-09","5","13156"
"2021-03-09","6","10396"
"2021-03-09","7","11357"
"2021-03-09","8","19250"
"2021-03-09","9","30939"
"2021-03-09","10","38678"
"2021-03-09","11","43071"
"2021-03-09","12","44872"
"2021-03-09","13","47095"
"2021-03-09","14","49941"
"2021-03-09","15","52513"
"2021-03-09","16","52127"
"2021-03-09","17","53398"
"2021-03-09","18","55091"
"2021-03-09","19","56634"
"2021-03-09","20","59321"
"2021-03-09","21","62306"
"2021-03-09","22","66329"
"2021-03-09","23","69473"
"2021-03-09","24","67380"
"2021-03-10","1","56994"
"2021-03-10","2","42117"
"2021-03-10","3","28834"
"2021-03-10","4","19294"
"2021-03-10","5","13286"
"2021-03-10","6","10564"
"2021-03-10","7","11496"
"2021-03-10","8","19092"
"2021-03-10","9","30826"
"2021-03-10","10","38524"
"2021-03-10","11","43311"
"2021-03-10","12","45379"
"2021-03-10","13","47116"
"2021-03-10","14","49936"
"2021-03-10","15","52319"
"2021-03-10","16","52271"
"2021-03-10","17","52826"
"2021-03-10","18","55228"
"2021-03-10","19","56911"
"2021-03-10","20","59026"
"2021-03-10","21","62259"
"2021-03-10","22","66070"
"2021-03-10","23","68835"
"2021-03-10","24","66794"
"2021-03-11","1","56693"
"2021-03-11","2","42058"
"2021-03-11","3","28917"
"2021-03-11","4","19513"
"2021-03-11","5","13401"
"2021-03-11","6","10492"
"2021-03-11","7","11509"
"2021-03-11","8","19442"
"2021-03-11","9","31292"
"2021-03-11","10","38968"
"2021-03-11","11","43602"
"2021-03-11","12","45481"
"2021-03-11","13","47234"
"2021-03-11","14","49829"
"2021-03-11","15","52055"
"2021-03-11","16","51705"
"2021-03-11","17","53105"
"2021-03-11","18","55222"
"2021-03-11","19","56281"
"2021-03-11","20","58128"
"2021-03-11","21","61151"
"2021-03-11","22","64407"
"2021-03-11","23","68076"
"2021-03-11","24","66523"
"2021-03-12","1","56879"
"2021-03-12","2","42718"
"2021-03-12","3","29754"
"2021-03-12","4","20084"
"2021-03-12","5","13617"
"2021-03-12","6","10910"
"2021-03-12","7","11579"
"2021-03-12","8","19146"
"2021-03-12","9","30797"
"2021-03-12","10","38676"
"2021-03-12","11","43762"
"2021-03-12","12","46090"
"2021-03-12","13","48073"
"2021-03-12","14","50075"
"2021-03-12","15","51615"
"2021-03-12","16","51360"
"2021-03-12","17","52529"
"2021-03-12","18","53729"
"2021-03-12","19","54840"
"2021-03-12","20","56738"
"2021-03-12","21","59591"
"2021-03-12","22","61164"
"2021-03-12","23","64053"
"2021-03-12","24","64087"
"2021-03-13","1","58187"
"2021-03-13","2","47524"
"2021-03-13","3","35074"
"2021-03-13","4","24300"
"2021-03-13","5","16750"
"2021-03-13","6","12208"
"2021-03-13","7","10959"
"2021-03-13","8","14531"
"2021-03-13","9","23290"
"2021-03-13","10","33696"
"2021-03-13","11","43425"
"2021-03-13","12","48344"
"2021-03-13","13","51017"
"2021-03-13","14","51806"
"2021-03-13","15","51369"
"2021-03-13","16","50547"
"2021-03-13","17","50732"
"2021-03-13","18","47237"
"2021-03-13","19","53800"
"2021-03-13","20","67244"
"2021-03-13","21","59395"
"2021-03-13","22","61457"
"2021-03-13","23","64035"
"2021-03-13","24","63700"
"2021-03-14","1","58932"
"2021-03-14","2","49327"
"2021-03-14","3","37583"
"2021-03-14","4","26806"
"2021-03-14","5","18208"
"2021-03-14","6","12822"
"2021-03-14","7","11819"
"2021-03-14","8","14291"
"2021-03-14","9","21393"
"2021-03-14","10","32814"
"2021-03-14","11","42991"
"2021-03-14","12","49790"
"2021-03-14","13","53714"
"2021-03-14","14","55399"
"2021-03-14","15","55158"
"2021-03-14","16","55284"
"2021-03-14","17","55960"
"2021-03-14","18","56893"
"2021-03-14","19","59384"
"2021-03-14","20","62632"
"2021-03-14","21","65559"
"2021-03-14","22","69450"
"2021-03-14","23","69798"
"2021-03-14","24","63778"
"2021-03-15","1","0"
"2021-03-15","2","0"
"2021-03-15","3","0"
"2021-03-15","4","0"
"2021-03-15","5","0"
"2021-03-15","6","0"
"2021-03-15","7","0"
"2021-03-15","8","0"
"2021-03-15","9","0"
"2021-03-15","10","0"
"2021-03-15","11","0"
"2021-03-15","12","0"
"2021-03-15","13","0"
"2021-03-15","14","0"
"2021-03-15","15","0"
"2021-03-15","16","0"
"2021-03-15","17","0"
"2021-03-15","18","0"
"2021-03-15","19","0"
"2021-03-15","20","0"
"2021-03-15","21","0"
"2021-03-15","22","0"
"2021-03-15","23","0"
"2021-03-15","24","0"
