"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares ","Total views"
"2021-03-17 06:29","Nighttime tornadoes are scary! #fyp #news #weather #tornadoes #night","https://www.tiktok.com/@weatherchannel/video/6940293796848471302","2021-03-16 16:44","1941","23","27","8281"
"2021-03-17 06:29","Video you can almost feel! 🥶 #fyp #news #winterstorm #weather #colorado #wyoming","https://www.tiktok.com/@weatherchannel/video/6939911969545751813","2021-03-15 16:02","2105","72","98","11787"
"2021-03-17 06:29","ICYMI: Here are the weekend’s top stories. #fyp #news #newjersey #winterstorm #weather","https://www.tiktok.com/@weatherchannel/video/6939847691123920133","2021-03-15 11:53","134","4","2","1513"
"2021-03-17 06:29","Tornado destroys a home and cell tower in Happy, Texas #tornado #breakingnews #weather #fyp #storms","https://www.tiktok.com/@weatherchannel/video/6939289380058107141","2021-03-14 00:05","1656","55","149","14802"
"2021-03-17 06:29","BREAKING: Twin tornadoes touch down in Texas! #fyp #breakingnews #tornadoes #texas #weather","https://www.tiktok.com/@weatherchannel/video/6939272156018642182","2021-03-13 22:40","15560","389","786","111797"
"2021-03-17 06:29","Insane rain and wind from a severe storm in Texas. #fyp #weather #storms #texas #truckers #rain","https://www.tiktok.com/@weatherchannel/video/6939232089107647749","2021-03-13 20:04","22893","832","2387","255006"
"2021-03-17 06:29","Some areas may see more than three feet. #snow  #winterstormxylia #snowstorm #colorado #rockies #fyp #weather","https://www.tiktok.com/@weatherchannel/video/6938799265166675206","2021-03-12 16:05","522","11","35","7598"
"2021-03-17 06:29","Cool umbrella trick! Your guess is as good as ours... #fyp #weather #umbrella #how? #trick","https://www.tiktok.com/@weatherchannel/video/6938491749572562182","2021-03-11 20:11","442","12","8","5949"
"2021-03-17 06:29","Looking ahead to summer #fyp #summer #hot #weather #forecast","https://www.tiktok.com/@weatherchannel/video/6938425787498433798","2021-03-11 15:55","887","16","9","8024"
"2021-03-17 06:29","Looking ahead to summer #fyp #summer #forecast #hot #weather","https://www.tiktok.com/@weatherchannel/video/6938420228481158405","2021-03-11 15:34","24","2","0","0"
"2021-03-17 06:29","Did the ingredients for life hitch a ride on this rare meteorite? #fyp #space #meteorite #earth #news","https://www.tiktok.com/@weatherchannel/video/6938092858872253702","2021-03-10 18:23","429","17","5","6297"
